<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.02.23	16:45:35.420	1.64733				2
2024.02.23	16:45:35.662	1.64730	1.64748			6
2024.02.23	16:45:35.755	1.64733	1.64752			6
2024.02.23	16:45:35.863		1.64751			4
2024.02.23	16:45:35.996	1.64735	1.64752			6
2024.02.23	16:45:36.132	1.64733	1.64751			6
2024.02.23	16:45:36.235	1.64728	1.64746			6
2024.02.23	16:45:36.336	1.64732	1.64748			6
2024.02.23	16:45:36.770	1.64734	1.64750			6
2024.02.23	16:45:36.868	1.64735	1.64751			6
2024.02.23	16:45:37.011	1.64733	1.64750			6
2024.02.23	16:45:37.984	1.64730	1.64748			6
2024.02.23	16:45:38.084	1.64732	1.64750			6
2024.02.23	16:45:38.185	1.64728	1.64746			6
2024.02.23	16:45:38.387	1.64727	1.64743			6
2024.02.23	16:45:38.486		1.64744			4
2024.02.23	16:45:38.587	1.64728	1.64749			6
2024.02.23	16:45:38.691	1.64727				2
2024.02.23	16:45:38.791	1.64726	1.64744			6
2024.02.23	16:45:38.893	1.64724	1.64743			6
2024.02.23	16:45:39.001		1.64742			4
2024.02.23	16:45:39.104	1.64725				2
2024.02.23	16:45:39.209		1.64743			4
2024.02.23	16:45:39.695		1.64741			4
2024.02.23	16:45:39.897		1.64742			4
2024.02.23	16:45:40.007	1.64726	1.64743			6
2024.02.23	16:45:40.114	1.64725				2
2024.02.23	16:45:40.219	1.64726	1.64744			6
2024.02.23	16:45:40.438		1.64745			4
2024.02.23	16:45:40.643		1.64742			4
2024.02.23	16:45:40.761		1.64744			4
2024.02.23	16:45:40.997	1.64727				2
2024.02.23	16:45:41.097	1.64726	1.64745			6
2024.02.23	16:45:41.300	1.64727	1.64747			6
2024.02.23	16:45:41.401	1.64732	1.64749			6
2024.02.23	16:45:41.517	1.64731				2
2024.02.23	16:45:41.618	1.64730	1.64748			6
2024.02.23	16:45:41.966	1.64731				2
2024.02.23	16:45:42.195	1.64732				2
2024.02.23	16:45:42.330		1.64749			4
2024.02.23	16:45:42.436	1.64733	1.64750			6
2024.02.23	16:45:42.546		1.64749			4
2024.02.23	16:45:42.659	1.64731				2
2024.02.23	16:45:42.874		1.64748			4
2024.02.23	16:45:42.974	1.64729	1.64747			6
2024.02.23	16:45:43.075	1.64728				2
2024.02.23	16:45:44.232	1.64727	1.64746			6
2024.02.23	16:45:44.443		1.64747			4
2024.02.23	16:45:44.870		1.64744			4
2024.02.23	16:45:44.972	1.64726	1.64743			6
2024.02.23	16:45:45.087		1.64742			4
2024.02.23	16:45:45.320	1.64725	1.64741			6
2024.02.23	16:45:45.431		1.64742			4
2024.02.23	16:45:45.993		1.64743			4
2024.02.23	16:45:46.095		1.64742			4
2024.02.23	16:45:46.212		1.64743			4
2024.02.23	16:45:46.324	1.64726				2
2024.02.23	16:45:46.768	1.64725	1.64742			6
2024.02.23	16:45:47.116	1.64726				2
2024.02.23	16:45:47.235	1.64725				2
2024.02.23	16:45:47.448	1.64726	1.64746			6
2024.02.23	16:45:47.549	1.64727	1.64747			6
2024.02.23	16:45:47.650	1.64726				2
2024.02.23	16:45:48.045		1.64746			4
2024.02.23	16:45:48.820		1.64742			4
2024.02.23	16:45:49.065		1.64743			4
2024.02.23	16:45:49.167	1.64724	1.64741			6
2024.02.23	16:45:49.270	1.64721	1.64739			6
2024.02.23	16:45:49.720	1.64725	1.64741			6
2024.02.23	16:45:49.822	1.64724	1.64743			6
2024.02.23	16:45:50.033	1.64726	1.64744			6
2024.02.23	16:45:50.149	1.64725	1.64743			6
2024.02.23	16:45:50.252	1.64726	1.64744			6
2024.02.23	16:45:50.369		1.64745			4
2024.02.23	16:45:50.487	1.64725	1.64743			6
2024.02.23	16:45:50.604		1.64744			4
2024.02.23	16:45:50.709		1.64741			4
2024.02.23	16:45:50.811	1.64724	1.64740			6
2024.02.23	16:45:50.918	1.64723	1.64741			6
2024.02.23	16:45:51.018	1.64725				2
2024.02.23	16:45:51.437	1.64726	1.64742			6
2024.02.23	16:45:51.538	1.64727	1.64743			6
2024.02.23	16:45:51.791		1.64745			4
2024.02.23	16:45:52.208		1.64743			4
2024.02.23	16:45:52.750	1.64728				2
2024.02.23	16:45:52.868		1.64745			4
2024.02.23	16:45:53.264		1.64747			4
2024.02.23	16:45:54.994	1.64731	1.64749			6
2024.02.23	16:45:55.210		1.64747			4
2024.02.23	16:45:55.463		1.64748			4
2024.02.23	16:45:55.565	1.64732				2
2024.02.23	16:45:55.768	1.64731				2
2024.02.23	16:45:56.145		1.64749			4
2024.02.23	16:45:56.396		1.64750			4
2024.02.23	16:45:56.554	1.64734	1.64749			6
2024.02.23	16:45:56.657	1.64730	1.64748			6
2024.02.23	16:45:56.758	1.64728				2
2024.02.23	16:45:56.859	1.64727	1.64747			6
2024.02.23	16:45:56.958		1.64744			4
2024.02.23	16:45:57.058	1.64726				2
2024.02.23	16:45:57.160	1.64725	1.64746			6
2024.02.23	16:45:57.491		1.64745			4
2024.02.23	16:45:57.798	1.64726	1.64743			6
2024.02.23	16:45:58.187	1.64725				2
2024.02.23	16:45:58.306	1.64729	1.64747			6
2024.02.23	16:45:58.410	1.64731				2
2024.02.23	16:45:58.511		1.64749			4
2024.02.23	16:45:58.615		1.64751			4
2024.02.23	16:45:58.818	1.64732				2
2024.02.23	16:45:58.923	1.64731	1.64749			6
2024.02.23	16:45:59.031		1.64750			4
2024.02.23	16:45:59.603		1.64747			4
2024.02.23	16:45:59.719	1.64730	1.64749			6
2024.02.23	16:45:59.825	1.64728	1.64747			6
2024.02.23	16:46:00.193	1.64728				2
2024.02.23	16:46:00.307	1.64726	1.64744			6
2024.02.23	16:46:00.400	1.64725	1.64745			6
2024.02.23	16:46:00.908		1.64744			4
2024.02.23	16:46:01.019	1.64726	1.64746			6
2024.02.23	16:46:01.116		1.64745			4
2024.02.23	16:46:01.227		1.64744			4
2024.02.23	16:46:01.353		1.64746			4
2024.02.23	16:46:01.455	1.64727				2
2024.02.23	16:46:01.565	1.64730	1.64747			6
2024.02.23	16:46:01.790	1.64729				2
2024.02.23	16:46:02.415	1.64727	1.64746			6
2024.02.23	16:46:02.564		1.64745			4
2024.02.23	16:46:02.784		1.64744			4
2024.02.23	16:46:03.028		1.64745			4
2024.02.23	16:46:03.261	1.64726				2
2024.02.23	16:46:03.385		1.64744			4
2024.02.23	16:46:03.488	1.64727	1.64743			6
2024.02.23	16:46:03.590		1.64747			4
2024.02.23	16:46:03.880	1.64726				2
2024.02.23	16:46:04.243	1.64727	1.64746			6
2024.02.23	16:46:04.447		1.64747			4
2024.02.23	16:46:04.549	1.64726	1.64746			6
2024.02.23	16:46:04.828	1.64727	1.64747			6
2024.02.23	16:46:05.087	1.64726	1.64746			6
2024.02.23	16:46:05.196		1.64747			4
2024.02.23	16:46:05.409		1.64746			4
2024.02.23	16:46:05.629	1.64725	1.64744			6
2024.02.23	16:46:05.740		1.64745			4
2024.02.23	16:46:05.842	1.64723	1.64744			6
2024.02.23	16:46:05.950	1.64724	1.64743			6
2024.02.23	16:46:06.051		1.64744			4
2024.02.23	16:46:06.285		1.64743			4
2024.02.23	16:46:06.453		1.64744			4
2024.02.23	16:46:06.556		1.64743			4
2024.02.23	16:46:06.812		1.64744			4
2024.02.23	16:46:06.918	1.64728	1.64746			6
2024.02.23	16:46:07.034	1.64727				2
2024.02.23	16:46:07.741		1.64747			4
2024.02.23	16:46:07.847		1.64744			4
2024.02.23	16:46:08.047	1.64726				2
2024.02.23	16:46:08.272	1.64724				2
2024.02.23	16:46:08.502	1.64723				2
2024.02.23	16:46:08.646		1.64742			4
2024.02.23	16:46:08.751		1.64744			4
2024.02.23	16:46:08.853	1.64724	1.64743			6
2024.02.23	16:46:09.093		1.64744			4
2024.02.23	16:46:09.284	1.64723	1.64740			6
2024.02.23	16:46:09.386	1.64722	1.64741			6
2024.02.23	16:46:09.611		1.64742			4
2024.02.23	16:46:09.713		1.64743			4
2024.02.23	16:46:09.825	1.64723				2
2024.02.23	16:46:09.931	1.64720	1.64738			6
2024.02.23	16:46:10.034		1.64739			4
2024.02.23	16:46:10.364	1.64718				2
2024.02.23	16:46:10.480	1.64719				2
2024.02.23	16:46:10.699	1.64720				2
2024.02.23	16:46:10.830	1.64719	1.64740			6
2024.02.23	16:46:11.926	1.64726	1.64744			6
2024.02.23	16:46:12.298	1.64725				2
2024.02.23	16:46:12.398		1.64745			4
2024.02.23	16:46:12.601		1.64744			4
2024.02.23	16:46:12.703	1.64724	1.64745			6
