<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.05	10:45:00	0.85357	0.85359	0.85337	0.85340	79	0	13
2024.02.05	10:48:00	0.85340	0.85356	0.85333	0.85340	112	0	13
2024.02.05	10:51:00	0.85340	0.85344	0.85313	0.85313	91	0	13
2024.02.05	10:54:00	0.85313	0.85324	0.85308	0.85311	97	0	13
2024.02.05	10:57:00	0.85311	0.85319	0.85309	0.85314	123	0	13
2024.02.05	11:00:00	0.85314	0.85318	0.85295	0.85295	178	0	13
2024.02.05	11:03:00	0.85295	0.85319	0.85292	0.85317	103	0	13
2024.02.05	11:06:00	0.85317	0.85317	0.85295	0.85296	61	0	13
2024.02.05	11:09:00	0.85297	0.85308	0.85287	0.85293	71	0	13
2024.02.05	11:12:00	0.85294	0.85305	0.85289	0.85298	63	0	13
2024.02.05	11:15:00	0.85298	0.85304	0.85291	0.85292	72	0	13
2024.02.05	11:18:00	0.85292	0.85315	0.85292	0.85313	100	0	13
2024.02.05	11:21:00	0.85313	0.85315	0.85310	0.85314	54	0	13
2024.02.05	11:24:00	0.85314	0.85328	0.85314	0.85327	93	0	13
2024.02.05	11:27:00	0.85327	0.85342	0.85323	0.85340	76	0	13
2024.02.05	11:30:00	0.85325	0.85355	0.85306	0.85348	110	0	13
2024.02.05	11:33:00	0.85345	0.85348	0.85328	0.85348	77	0	13
2024.02.05	11:36:00	0.85348	0.85355	0.85337	0.85352	86	0	13
2024.02.05	11:39:00	0.85351	0.85368	0.85351	0.85362	101	0	13
2024.02.05	11:42:00	0.85362	0.85362	0.85342	0.85358	90	0	13
2024.02.05	11:45:00	0.85358	0.85361	0.85338	0.85338	64	0	13
2024.02.05	11:48:00	0.85339	0.85339	0.85316	0.85323	109	0	13
2024.02.05	11:51:00	0.85324	0.85341	0.85317	0.85337	114	0	13
2024.02.05	11:54:00	0.85337	0.85338	0.85320	0.85325	86	0	13
2024.02.05	11:57:00	0.85326	0.85338	0.85320	0.85334	99	0	13
2024.02.05	12:00:00	0.85333	0.85419	0.85330	0.85388	225	0	13
2024.02.05	12:03:00	0.85388	0.85400	0.85378	0.85385	140	0	13
2024.02.05	12:06:00	0.85384	0.85423	0.85382	0.85414	127	0	13
2024.02.05	12:09:00	0.85414	0.85415	0.85397	0.85406	81	0	13
2024.02.05	12:12:00	0.85409	0.85444	0.85399	0.85440	104	0	13
