<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	11:44:00	2040.95	2040.95	2040.45	2040.58	187	0	17
2024.02.01	11:46:00	2040.61	2040.69	2040.28	2040.64	155	0	17
2024.02.01	11:48:00	2040.64	2040.78	2040.39	2040.70	175	0	17
2024.02.01	11:50:00	2040.74	2040.74	2040.30	2040.72	163	0	17
2024.02.01	11:52:00	2040.72	2040.83	2040.38	2040.49	151	0	17
2024.02.01	11:54:00	2040.51	2040.96	2040.39	2040.66	143	0	17
2024.02.01	11:56:00	2040.65	2040.77	2040.49	2040.76	103	0	19
2024.02.01	11:58:00	2040.75	2041.01	2040.52	2041.01	118	0	17
2024.02.01	12:00:00	2041.02	2041.16	2040.28	2040.47	252	0	17
2024.02.01	12:02:00	2040.41	2040.69	2039.93	2040.14	175	0	17
2024.02.01	12:04:00	2040.14	2040.42	2039.83	2040.21	163	0	17
2024.02.01	12:06:00	2040.21	2040.23	2039.52	2039.61	182	0	17
2024.02.01	12:08:00	2039.61	2039.62	2038.92	2039.00	194	0	17
2024.02.01	12:10:00	2038.99	2039.38	2038.74	2038.96	173	0	17
2024.02.01	12:12:00	2038.95	2039.43	2038.87	2039.21	165	0	17
2024.02.01	12:14:00	2039.20	2039.21	2038.16	2038.39	254	0	17
2024.02.01	12:16:00	2038.39	2039.33	2038.32	2039.08	145	0	17
2024.02.01	12:18:00	2039.08	2039.18	2038.60	2038.80	149	0	17
2024.02.01	12:20:00	2038.78	2039.48	2038.74	2039.38	139	0	20
2024.02.01	12:22:00	2039.36	2039.61	2038.64	2038.90	145	0	17
2024.02.01	12:24:00	2038.89	2038.92	2037.66	2038.00	138	0	17
2024.02.01	12:26:00	2038.02	2038.45	2037.90	2038.24	152	0	17
2024.02.01	12:28:00	2038.29	2038.29	2037.32	2037.36	151	0	17
2024.02.01	12:30:00	2037.36	2038.27	2037.13	2038.24	197	0	17
2024.02.01	12:32:00	2038.24	2038.27	2037.47	2037.78	151	0	17
2024.02.01	12:34:00	2037.73	2037.95	2037.48	2037.51	125	0	17
2024.02.01	12:36:00	2037.51	2037.53	2035.52	2036.06	233	0	17
2024.02.01	12:38:00	2036.04	2036.11	2035.23	2035.35	213	0	17
2024.02.01	12:40:00	2035.35	2035.37	2033.97	2035.07	279	0	17
2024.02.01	12:42:00	2035.07	2035.51	2034.50	2034.94	226	0	17
2024.02.01	12:44:00	2034.94	2035.27	2034.46	2035.23	240	0	17
2024.02.01	12:46:00	2035.23	2035.27	2034.79	2035.08	187	0	17
2024.02.01	12:48:00	2035.08	2035.08	2033.49	2034.24	243	0	17
2024.02.01	12:50:00	2034.22	2034.88	2033.96	2034.44	195	0	17
2024.02.01	12:52:00	2034.43	2034.46	2033.94	2034.25	164	0	17
2024.02.01	12:54:00	2034.25	2034.32	2033.77	2033.96	149	0	19
2024.02.01	12:56:00	2033.96	2033.96	2031.00	2031.34	338	0	17
2024.02.01	12:58:00	2031.40	2032.46	2030.91	2031.86	299	0	17
2024.02.01	13:00:00	2031.86	2032.05	2031.31	2031.56	278	0	17
2024.02.01	13:02:00	2031.67	2032.31	2030.86	2032.16	292	0	17
2024.02.01	13:04:00	2032.18	2032.39	2031.38	2031.83	220	0	17
2024.02.01	13:06:00	2031.76	2031.92	2031.20	2031.20	198	0	17
2024.02.01	13:08:00	2031.21	2031.43	2030.09	2030.52	229	0	17
2024.02.01	13:10:00	2030.52	2031.48	2030.01	2031.41	271	0	17
2024.02.01	13:12:00	2031.42	2031.64	2030.83	2031.26	229	0	17
2024.02.01	13:14:00	2031.27	2031.73	2031.02	2031.22	264	0	17
2024.02.01	13:16:00	2031.23	2031.72	2030.95	2031.60	223	0	17
2024.02.01	13:18:00	2031.62	2032.33	2031.62	2032.31	243	0	17
2024.02.01	13:20:00	2032.31	2033.24	2032.23	2033.09	237	0	17
2024.02.01	13:22:00	2033.11	2033.59	2032.97	2033.34	213	0	17
2024.02.01	13:24:00	2033.33	2033.66	2033.19	2033.23	186	0	17
2024.02.01	13:26:00	2033.23	2033.77	2032.97	2033.05	181	0	17
2024.02.01	13:28:00	2033.05	2033.09	2032.59	2032.80	138	0	17
2024.02.01	13:30:00	2032.80	2032.93	2031.76	2032.05	169	0	17
2024.02.01	13:32:00	2032.02	2032.02	2031.16	2031.31	160	0	17
2024.02.01	13:34:00	2031.31	2031.50	2030.62	2030.82	197	0	17
2024.02.01	13:36:00	2030.82	2031.81	2030.66	2031.50	207	0	17
2024.02.01	13:38:00	2031.51	2032.17	2031.25	2031.70	236	0	17
2024.02.01	13:40:00	2031.70	2032.14	2031.17	2031.46	256	0	17
2024.02.01	13:42:00	2031.46	2032.19	2031.16	2032.10	208	0	17
2024.02.01	13:44:00	2032.10	2032.33	2031.83	2031.88	198	0	17
2024.02.01	13:46:00	2031.87	2032.25	2031.87	2032.01	174	0	17
2024.02.01	13:48:00	2032.01	2032.56	2031.66	2032.54	246	0	17
2024.02.01	13:50:00	2032.55	2033.55	2032.14	2033.45	321	0	17
2024.02.01	13:52:00	2033.44	2033.81	2032.99	2033.67	273	0	17
2024.02.01	13:54:00	2033.67	2034.41	2033.66	2033.96	245	0	17
2024.02.01	13:56:00	2033.96	2034.07	2033.43	2033.46	166	0	17
2024.02.01	13:58:00	2033.46	2033.64	2033.17	2033.41	145	0	17
2024.02.01	14:00:00	2033.38	2033.38	2032.52	2032.60	256	0	17
2024.02.01	14:02:00	2032.55	2033.01	2032.29	2033.00	236	0	17
2024.02.01	14:04:00	2032.99	2033.06	2032.40	2032.46	202	0	17
2024.02.01	14:06:00	2032.46	2032.55	2031.75	2032.53	251	0	17
2024.02.01	14:08:00	2032.53	2033.09	2032.50	2032.99	209	0	17
2024.02.01	14:10:00	2032.96	2033.73	2032.93	2033.21	184	0	17
2024.02.01	14:12:00	2033.21	2033.21	2032.65	2032.96	182	0	17
2024.02.01	14:14:00	2032.94	2033.01	2032.03	2032.24	206	0	17
2024.02.01	14:16:00	2032.24	2032.24	2031.70	2031.93	245	0	17
2024.02.01	14:18:00	2031.92	2032.31	2031.55	2031.59	216	0	17
2024.02.01	14:20:00	2031.59	2031.65	2030.18	2030.74	313	0	17
2024.02.01	14:22:00	2030.71	2031.32	2030.32	2031.27	225	0	17
2024.02.01	14:24:00	2031.27	2031.94	2031.20	2031.48	227	0	17
2024.02.01	14:26:00	2031.45	2031.53	2031.06	2031.18	251	0	17
2024.02.01	14:28:00	2031.14	2032.12	2030.98	2032.05	283	0	17
2024.02.01	14:30:00	2032.05	2032.21	2031.42	2031.66	287	0	17
2024.02.01	14:32:00	2031.66	2031.86	2031.10	2031.70	292	0	17
2024.02.01	14:34:00	2031.70	2032.41	2031.28	2032.17	256	0	17
2024.02.01	14:36:00	2032.17	2032.44	2031.89	2032.09	181	0	17
2024.02.01	14:38:00	2032.13	2032.54	2031.76	2031.98	176	0	17
2024.02.01	14:40:00	2031.99	2032.98	2031.64	2032.86	248	0	17
2024.02.01	14:42:00	2032.88	2033.44	2032.77	2033.28	205	0	17
2024.02.01	14:44:00	2033.28	2033.74	2033.05	2033.16	195	0	17
2024.02.01	14:46:00	2033.15	2034.13	2033.02	2033.60	246	0	17
2024.02.01	14:48:00	2033.58	2033.58	2032.78	2033.31	206	0	17
2024.02.01	14:50:00	2033.31	2033.36	2032.75	2032.95	227	0	17
2024.02.01	14:52:00	2032.97	2033.79	2032.96	2033.69	233	0	17
