<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.15	21:10:00	18.67233	18.67233	18.67176	18.67206	9	0	263
2024.01.15	21:15:00	18.67206	18.67243	18.67163	18.67163	11	0	253
2024.01.15	21:20:00	18.67163	18.67253	18.67163	18.67252	13	0	226
2024.01.15	21:25:00	18.67215	18.67253	18.67208	18.67253	22	0	224
2024.01.15	21:30:00	18.67253	18.67253	18.67172	18.67253	18	0	100
2024.01.15	21:35:00	18.67253	18.67253	18.67182	18.67253	13	0	225
2024.01.15	21:40:00	18.67253	18.67253	18.67239	18.67253	7	0	224
2024.01.15	21:45:00	18.67253	18.67253	18.67029	18.67096	18	0	267
2024.01.15	21:50:00	18.67096	18.67133	18.67059	18.67059	13	0	264
2024.01.15	21:55:00	18.67128	18.67253	18.66783	18.67003	14	0	162
2024.01.15	22:00:00	18.67118	18.67118	18.67003	18.67003	2	0	264
2024.01.15	22:10:00	18.67118	18.67353	18.67003	18.67353	29	0	259
2024.01.15	22:15:00	18.67093	18.67515	18.66868	18.67403	35	0	100
2024.01.15	22:25:00	18.66868	18.67403	18.66868	18.67403	11	0	189
2024.01.15	22:30:00	18.67384	18.67403	18.67378	18.67403	7	0	189
2024.01.15	22:40:00	18.67326	18.67403	18.67326	18.67363	8	0	189
2024.01.15	22:45:00	18.67363	18.67363	18.67303	18.67318	9	0	357
2024.01.15	22:50:00	18.67318	18.67343	18.67318	18.67343	6	0	287
2024.01.15	22:55:00	18.67273	18.67543	18.67191	18.67543	35	0	100
2024.01.15	23:00:00	18.67518	18.67671	18.67278	18.67423	42	0	100
2024.01.15	23:05:00	18.67423	18.70213	18.67170	18.68088	28	0	100
2024.01.15	23:10:00	18.68088	18.68498	18.68088	18.68423	16	0	100
2024.01.15	23:15:00	18.68428	18.68528	18.67628	18.67628	11	0	154
2024.01.15	23:20:00	18.67578	18.67848	18.67578	18.67848	3	0	154
2024.01.15	23:25:00	18.67588	18.67588	18.67528	18.67528	2	0	154
2024.01.15	23:30:00	18.67558	18.67788	18.67558	18.67658	4	0	100
2024.01.15	23:40:00	18.67648	18.67648	18.67648	18.67648	1	0	154
2024.01.15	23:45:00	18.67718	18.67748	18.67718	18.67748	2	0	154
2024.01.15	23:55:00	18.67708	18.67708	18.66610	18.66610	13	0	158
2024.01.16	00:00:00	18.66610	18.66610	18.64380	18.64380	4	0	1390
2024.01.16	00:05:00	18.64380	18.64380	18.64380	18.64380	3	0	3100
2024.01.16	00:10:00	18.64380	18.69210	18.64380	18.69210	12	0	1630
2024.01.16	00:15:00	18.69210	18.69210	18.67740	18.69210	8	0	890
2024.01.16	00:20:00	18.69210	18.69820	18.67830	18.67929	18	0	840
2024.01.16	00:25:00	18.67929	18.68562	18.65902	18.66255	17	0	2620
2024.01.16	00:30:00	18.66255	18.66255	18.63805	18.63874	29	0	3100
2024.01.16	00:35:00	18.63874	18.64335	18.63865	18.63890	16	0	3100
2024.01.16	00:40:00	18.63884	18.64767	18.63884	18.64342	18	0	3100
2024.01.16	00:45:00	18.64868	18.64868	18.63903	18.64126	20	0	3100
2024.01.16	00:50:00	18.64126	18.64636	18.63972	18.64343	17	0	3100
2024.01.16	00:55:00	18.64458	18.64672	18.63822	18.64033	24	0	3100
2024.01.16	01:00:00	18.64525	18.66958	18.64525	18.66910	31	0	2124
2024.01.16	01:05:00	18.67010	18.68188	18.66910	18.68048	10	0	1789
2024.01.16	01:10:00	18.68082	18.68131	18.68048	18.68108	5	0	1805
2024.01.16	01:15:00	18.68180	18.68188	18.67688	18.67688	4	0	1748
2024.01.16	01:20:00	18.65356	18.67688	18.65356	18.65356	3	0	2374
2024.01.16	01:30:00	18.67688	18.67688	18.67548	18.67688	3	0	2374
2024.01.16	01:35:00	18.67548	18.67870	18.67548	18.67870	3	0	2010
2024.01.16	01:45:00	18.67548	18.67548	18.67548	18.67548	1	0	2514
