<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.06	17:10:00	18.90594	18.90594	18.89988	18.90108	170	0	169
2024.02.06	17:12:00	18.90141	18.90148	18.89271	18.89320	83	0	139
2024.02.06	17:14:00	18.89348	18.89838	18.88948	18.89818	205	0	100
2024.02.06	17:16:00	18.89818	18.89818	18.87328	18.87638	223	0	100
2024.02.06	17:18:00	18.87638	18.87638	18.86334	18.86473	271	0	100
2024.02.06	17:20:00	18.86450	18.87561	18.86082	18.87493	177	0	172
2024.02.06	17:22:00	18.87524	18.88862	18.87493	18.88768	142	0	211
2024.02.06	17:24:00	18.88829	18.89350	18.87952	18.89238	197	0	100
2024.02.06	17:26:00	18.89206	18.89522	18.87858	18.89278	240	0	100
2024.02.06	17:28:00	18.89250	18.89686	18.89098	18.89290	233	0	100
2024.02.06	17:30:00	18.89290	18.89738	18.88646	18.89450	165	0	100
2024.02.06	17:32:00	18.89462	18.89696	18.88768	18.88857	257	0	166
2024.02.06	17:34:00	18.88857	18.88857	18.87838	18.87928	188	0	100
2024.02.06	17:36:00	18.87928	18.87928	18.86588	18.87358	193	0	104
2024.02.06	17:38:00	18.87398	18.88018	18.86979	18.87798	254	0	100
2024.02.06	17:40:00	18.87798	18.88318	18.87288	18.87427	168	0	100
2024.02.06	17:42:00	18.87359	18.88278	18.87108	18.87138	153	0	100
2024.02.06	17:44:00	18.87138	18.87138	18.85958	18.86238	200	0	100
2024.02.06	17:46:00	18.86278	18.86599	18.85898	18.85898	249	0	100
2024.02.06	17:48:00	18.85898	18.86808	18.85746	18.86528	139	0	107
2024.02.06	17:50:00	18.86558	18.86618	18.85701	18.85701	174	0	312
2024.02.06	17:52:00	18.85677	18.86534	18.85578	18.86267	149	0	100
2024.02.06	17:54:00	18.86264	18.86456	18.86113	18.86208	97	0	100
2024.02.06	17:56:00	18.86228	18.87328	18.86165	18.87046	162	0	100
2024.02.06	17:58:00	18.87087	18.87748	18.87042	18.87692	150	0	154
2024.02.06	18:00:00	18.87697	18.88224	18.87697	18.88135	127	0	117
2024.02.06	18:02:00	18.88095	18.89075	18.87479	18.88984	239	0	100
2024.02.06	18:04:00	18.88958	18.88958	18.88477	18.88708	175	0	143
2024.02.06	18:06:00	18.88645	18.89118	18.88549	18.88762	129	0	134
2024.02.06	18:08:00	18.88762	18.89429	18.88564	18.89399	137	0	146
2024.02.06	18:10:00	18.89368	18.89368	18.88627	18.89214	127	0	104
2024.02.06	18:12:00	18.89214	18.89403	18.88871	18.88970	98	0	100
2024.02.06	18:14:00	18.89028	18.89098	18.88548	18.88988	106	0	214
2024.02.06	18:16:00	18.88988	18.89322	18.88868	18.89048	113	0	134
2024.02.06	18:18:00	18.89048	18.89468	18.88908	18.89038	73	0	163
2024.02.06	18:20:00	18.89038	18.89558	18.88723	18.88975	138	0	100
2024.02.06	18:22:00	18.89018	18.89180	18.88457	18.88457	109	0	119
2024.02.06	18:24:00	18.88457	18.88457	18.87528	18.87888	132	0	100
2024.02.06	18:26:00	18.87888	18.88038	18.87518	18.87988	135	0	100
2024.02.06	18:28:00	18.87988	18.88088	18.87576	18.87910	115	0	124
2024.02.06	18:30:00	18.87828	18.87913	18.87488	18.87670	117	0	104
2024.02.06	18:32:00	18.87670	18.88508	18.87670	18.88359	96	0	105
2024.02.06	18:34:00	18.88359	18.88568	18.87706	18.88318	145	0	100
2024.02.06	18:36:00	18.88348	18.88465	18.88028	18.88168	253	0	100
2024.02.06	18:38:00	18.88168	18.88383	18.88021	18.88100	221	0	154
2024.02.06	18:40:00	18.88090	18.88336	18.87758	18.87878	208	0	160
2024.02.06	18:42:00	18.87878	18.88078	18.87438	18.87582	148	0	100
2024.02.06	18:44:00	18.87582	18.87828	18.87342	18.87750	85	0	226
2024.02.06	18:46:00	18.87750	18.87858	18.87558	18.87858	83	0	174
2024.02.06	18:48:00	18.87868	18.87868	18.87324	18.87451	56	0	192
2024.02.06	18:50:00	18.87450	18.87578	18.87192	18.87238	68	0	103
2024.02.06	18:52:00	18.87268	18.87268	18.86471	18.86528	110	0	100
2024.02.06	18:54:00	18.86528	18.86898	18.86318	18.86390	92	0	100
2024.02.06	18:56:00	18.86390	18.86678	18.86239	18.86278	69	0	134
2024.02.06	18:58:00	18.86278	18.86812	18.86278	18.86595	76	0	100
2024.02.06	19:00:00	18.86650	18.86973	18.86526	18.86778	262	0	139
2024.02.06	19:02:00	18.86788	18.86919	18.86504	18.86718	156	0	104
2024.02.06	19:04:00	18.86718	18.87258	18.86718	18.86894	88	0	141
2024.02.06	19:06:00	18.86894	18.86894	18.85228	18.85548	125	0	104
2024.02.06	19:08:00	18.85558	18.85558	18.85128	18.85448	275	0	185
2024.02.06	19:10:00	18.85558	18.85818	18.84536	18.84536	110	0	100
